10140,Jawaharlal Nehru College,Arunachal Pradesh,Pasighat,791103,28.2179994,94.7277528,3497,1710,136
15775,College of Horticulture and Forestry,Arunachal Pradesh,Pasighat,326023,24.5399878,76.14309,330,95,145
113,Indian Institute of Technology Guwahati,Assam,Guwahati,781039,26.193846,91.691675,5626,797,704.25
125,Tezpur University,Assam,Tezpur,784028,26.6988806,92.8364414,,1320,261.47
126,Assam University,Assam,Silcoorie Grant,788011,24.6859696,92.7498651,4008,2049,600
139,National Institute of Technology Silchar,Assam,Silchar,788010,24.7582998,92.7905957,2968,1105,625
242,Dibrugarh University,Assam,Dibrugarh,786004,27.4473167,94.8968771,34737,2265,500
912,Gauhati University,Assam,Guwahati,781014,26.1550732,91.6628334,31911,2336,650
973,Assam Don Bosco University,Assam,Guwahati,781004,26.200162,91.7797482999999,2564,1476,500
4921,Assam Engineering College,Assam,Guwahati,781013,26.1435672,91.6614071999999,2047,522,400
10038,Kamrup College,Assam,Nalbari,781306,26.4012799,91.3490355,1425,0,210
18348,Beltola College,Assam,Guwahati,781028,26.1161123,91.7943983,1146,0,104.8
107,Indian Institute of Technology Patna,Bihar,Patna,801103,25.5340584,84.8489739,1378,390,500
675,Indira Gandhi Institute of Medical Sciences,Bihar,Patna,800014,25.6042704,85.0964822,933,165,130.2
703,Central University of South Bihar,Bihar,Gaya,800014,25.5961217,85.0876228,1187,1215,300
988,Jai Prakash Vishwavidyalaya,Bihar,Chhapra,841302,25.7796748,84.7873182,1057,0,242
1027,Patna University,Bihar,Patna,800005,25.6201778,85.1673785,2485,3092,181.58
1062,Tilka Manjhi Bhagalpur University,Bihar,Bhagalpur,812002,25.2488712,86.9580280999999,2989,120,264
1150,Lalit Narayan Mithila University,Bihar,Darbhanga,846004,26.1609905,85.8958245,2069,0,201
1156,Magadh University,Bihar,Dhandhwa,824234,24.6986845,84.9671219,4564,0,460
1266,Indian Institute of Management Bodh Gaya,Bihar,Bodhgaya,824234,24.6848608,84.9596457,,0,118
1678,Mahatma Gandhi Central University,Bihar,Motihari,845401,26.6465136,84.9059282,548,60,302
4820,Bhagalpur College of Engineering,Bihar,Bhagalpur,813210,25.2387648,87.0458387,838,500,167
6173,Jawahar Lal Nehru Medical College,Bihar,Bhagalpur,812002,25.2570575,86.9937241,249,159,209
8936,Adwaita Mission Institute of Technology,Bihar,Maniyarpur,813104,24.7511359,86.9605313,107,300,132
15032,Purnea College,Bihar,Purnea,854301,25.7944250999999,87.4693264,5294,0,118.78
18477,Sri Krishna Medical College,Bihar,Muzaffarpur,842001,26.1669211,85.3934566,371,126,170
18570,'Women''s Training College',Bihar,Patna,800001,25.6234486,85.1323779,200,100,200
25042,Amity University,Bihar,Patna,801503,25.6122875,85.0542640999999,,120,110
198,Punjab Engineering College,Chandigarh,Chandigarh,160012,30.766192,76.7783748,3088,992,146
744,Postgraduate Institute of Medical Education and Research Chandigarh,Chandigarh,Chandigarh,160012,30.766192,76.7783748,1207,439,277
874,Panjab University,Chandigarh,Chandigarh,160014,30.7606188,76.7653924,38351,6817,550
89,MATS University,Chhattisgarh,Gullu,493441,21.2470623,81.9981550999999,5920,120,110
221,Guru Ghasidas Vishwavidyalaya,Chhattisgarh,Bilaspur,495009,22.1293214,82.1360025999999,6862,3511,655
375,Indian Institute of Management Raipur,Chhattisgarh,Raipur,492101,21.121028,81.8246351999999,458,72,200
914,Pt Ravishankar Shukla University,Chhattisgarh,Raipur,492010,21.2515577,81.59525,2285,2050,300.17
1255,Indian Institute of Technology Bhilai,Chhattisgarh,Bhilai,492015,21.1687291,81.6747295,,120,432
17627,KD Rungta College of Science and Technology,Chhattisgarh,Raipur,492099,21.2721293,81.5796022,543,0,150
2,Indian Institute of Technology Delhi,Delhi,New Delhi,110016,28.5449756,77.1926283999999,9586,899,320
97,Delhi Technological University,Delhi,New Delhi,110042,28.7499867,77.1183137,9347,2694,164
596,Jamia Millia Islamia,Delhi,New Delhi,110025,28.5618579,77.2920985,18065,7564,215
754,Indian Agricultural Research Institute,Delhi,New Delhi,110012,28.6376724,77.1571443,884,169,1250
876,Jawaharlal Nehru University,Delhi,New Delhi,110067,28.543087,77.1658378,7482,1560,1019
3653,Netaji Subhas University of Technology,Delhi,New Delhi,110078,28.6096285,77.0362151,3759,1317,145
5853,Maulana Azad Medical College,Delhi,New Delhi,110002,28.6326004,77.2409778,,478,122
17603,'Instrument Design Development Centre, Indian Institute of Technology',Delhi,New Delhi,110016,28.5452912,77.1923236,,0,320
63,BITS Pilani,Goa,Chicalim,403726,15.3917942,73.87425,,0,180
898,Goa University Taleigao Plateau,Goa,Taleigao,403206,15.4556021,73.8408955,1980,1136,427.49
1254,Indian Institute of Technology Goa,Goa,Ponda,403401,15.412618,73.9893388,170,90,300
4385,Goa College of Engineering,Goa,Ponda,403401,15.4057106,73.9859414,2058,576,268
6127,Goa Medical College,Goa,Bambolim,403202,15.464357,73.8583705999999,1166,278,319
108,Indian Institute of Technology Gandhinagar,Gujarat,Gandhinagar,382355,23.2114604,72.6841856999999,1439,685,400
137,Sardar Vallabhbhai National Institute of Technology Surat,Gujarat,Surat,395007,21.1657676,72.7939386,4766,1396,251
235,Maharaja Sayajirao University of Baroda,Gujarat,Vadodara,390002,22.3120277,73.1836372,39182,13911,274.81
318,Ganpat University,Gujarat,Mulsan,384001,23.5292875,72.4577362999999,1023,5059,300
473,Maharaja Krishnakumarsinhji Bhavnagar University,Gujarat,Bhavnagar,364002,21.7575318,72.1288918999999,19941,1098,269.24
715,Ahmedabad University,Gujarat,Ahmedabad,380009,23.0388892,72.5507903,3726,65,250
735,Nirma University,Gujarat,Ahmedabad,382481,23.125873,72.5460079,8092,2542,115
884,Saurashtra University,Gujarat,Rajkot,360005,22.2930753,70.7436094,14373,994,360
903,Gujarat University,Gujarat,Ahmedabad,380009,23.035626,72.5641536,1949,3482,260
959,Charotar University of Science and Technology,Gujarat,Changa,388421,22.5902575,72.8005865,,2572,110
994,Hemchandracharya North Gujarat University,Gujarat,Patan,384265,23.8614893,72.1342083,2962,2914,212
1016,Navsari Agricultural University,Gujarat,Navsari,396450,20.9301704,72.9127019,,37,2278.47
1111,Veer Narmad South Gujarat University,Gujarat,Surat,395007,,,5282,2192,210
1378,Parul University,Gujarat,Waghodia,391760,22.2888265,73.3637966999999,,6974,150
1517,Anant National University,Gujarat,Ahmedabad,382115,23.0710054,72.3429525,265,80,110
3935,Laxmi Institute of Technology,Gujarat,Vapi,396105,20.2919864,72.8788376,478,840,120
4345,Government Engineering College,Gujarat,Modasa,383315,23.4628686,73.2999385,3777,876,216
4699,Chandubhai S Patel Institute of Technology,Gujarat,Anand,388421,22.5902575,72.8005865,3243,954,110
5777,Government Medical College,Gujarat,Surat,395001,21.1780573,72.8202524,,426,130
8183,Parul Institute of Management,Gujarat,Waghodia,391760,22.3036529,73.3985737,,180,150
8714,Sir KP College of Commerce,Gujarat,Surat,395001,21.1841986,72.8078543,3059,0,403.67003
9165,Laxmi Institute of Commerce and Computer Applications,Gujarat,Karanj,396155,20.310133,72.8427567,63,120,120
9781,Laxmi Institute of Management,Gujarat,Sarigam,396105,20.2948511,72.8788415,53,60,120
10254,Acharya Motibhai Patel Institute of Computer Studies,Gujarat,Mehsana,384001,23.5289727,72.4569046,340,144,300
18762,'Mehsana Urban Institute of Sciences, Ganpat University',Gujarat,Kherva,384001,23.5441702,72.442088,1808,930,300
18778,Parul Institute of Business Administration,Gujarat,Waghodia,391760,22.2885056999999,73.3627242,448,240,150
18785,Parul Institute of Applied Sciences and Research,Gujarat,Waghodia,391760,22.3036529,73.3985737,126,320,150
18905,Shree KJ Mehta TB Hospital Trust College of Dental Science,Gujarat,Shihor,364210,21.7132585,71.8704741,,118,182
22272,ASPEE College of Home Science and Nutrition,Gujarat,Dantiwada,385505,24.32383,72.3308073,,95,2928.2
91,Deen Bandhu Chhotu Ram University of Science and Technology,Haryana,Sonepat,131039,29.0207848,77.0670393,3632,1406,273
145,National Institute of Technology Kurukshetra,Haryana,Kurukshetra,136119,29.9451403,76.8173138,4656,1552,300
231,Guru Jambheshwar University of Science and Technology,Haryana,Hisar,125001,29.1749099,75.7262461,14062,2191,372
361,National Dairy Research Institute,Haryana,Karnal,132001,29.6916079,76.9877275,539,88,1348.08
466,Maharishi Markandeshwar Deemed to be University,Haryana,Mullana,133207,30.2482367,77.0416942,8410,831,150
557,Indian Institute of Management Rohtak,Haryana,Rohtak,124001,28.8763831,76.615277,534,120,200
569,'Maharshi Dayanand University, Directorate of Distance Education',Haryana,Rohtak,124001,28.8769643,76.6210538999999,,0,665.44
702,Amity University,Haryana,Chandla Dungerwas,122413,28.3034366,76.9038011,5281,435,110
757,Chaudhary Charan Singh Haryana Agricultural University,Haryana,Hisar,125004,29.1524908,75.6786725,,676,6095
883,Kurukshetra University,Haryana,Kurukshetra,136119,29.9566406,76.8175031999999,8099,5410,473
889,Maharshi Dayanand University,Haryana,Rohtak,124001,28.8784023,76.6225124,102870,3965,665.44
917,Chaudhary Devi Lal University,Haryana,Sirsa,125055,29.5503779,75.0392105999999,4643,1886,213
941,Bhagat Phool Singh Mahila Vishwavidyalaya,Haryana,Khanpur Kalan,131305,29.1637934,76.7899135,2909,3649,384
943,Baba Mastnath University,Haryana,Rohtak,124001,28.874943,76.6445719999999,2452,2795,200
1847,Jan Nayak Chaudhary Devi Lal Vidyapeeth,Haryana,Sirsa,125055,29.5591027,75.0573165999999,4288,1071,180
2789,The Technological Institute of Textile and Sciences,Haryana,Bhiwani,127021,28.8069499,76.1189485,,642,113
6156,Pt Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences,Haryana,Rohtak,124001,28.8830239,76.6058272,1847,889,350
9758,JCD Institute of Business Management,Haryana,Sirsa,125055,29.5592395,75.0584152999999,317,210,180
14460,Rewari Degree College,Haryana,Nangli Godha Village,123501,28.161774,76.543086,,0,286
21462,Jan Nayak Ch Devi Lal Memorial College of Pharmacy,Haryana,Sirsa,125055,29.5574697,75.0640349999999,239,192,180
21470,MM College of Pharmacy,Haryana,Mullana,133207,30.2551606,77.0506896,353,170,133
